date,province,country,lat,long,type,cases
24-02-2020,,Albania,41.1533,20.1683,confirmed,0
25-02-2020,,Albania,41.1533,20.1683,confirmed,0
26-02-2020,,Albania,41.1533,20.1683,confirmed,0
27-02-2020,,Albania,41.1533,20.1683,confirmed,0
28-02-2020,,Albania,41.1533,20.1683,confirmed,0
29-02-2020,,Albania,41.1533,20.1683,confirmed,0
01-03-2020,,Albania,41.1533,20.1683,confirmed,0
02-03-2020,,Albania,41.1533,20.1683,confirmed,0
03-03-2020,,Albania,41.1533,20.1683,confirmed,0
04-03-2020,,Albania,41.1533,20.1683,confirmed,0
05-03-2020,,Albania,41.1533,20.1683,confirmed,0
06-03-2020,,Albania,41.1533,20.1683,confirmed,0
07-03-2020,,Albania,41.1533,20.1683,confirmed,0
08-03-2020,,Albania,41.1533,20.1683,confirmed,0
09-03-2020,,Albania,41.1533,20.1683,confirmed,2
10-03-2020,,Albania,41.1533,20.1683,confirmed,8
11-03-2020,,Albania,41.1533,20.1683,confirmed,2
12-03-2020,,Albania,41.1533,20.1683,confirmed,11
13-03-2020,,Albania,41.1533,20.1683,confirmed,10
14-03-2020,,Albania,41.1533,20.1683,confirmed,5
15-03-2020,,Albania,41.1533,20.1683,confirmed,4
16-03-2020,,Albania,41.1533,20.1683,confirmed,9
17-03-2020,,Albania,41.1533,20.1683,confirmed,4
18-03-2020,,Albania,41.1533,20.1683,confirmed,4
19-03-2020,,Albania,41.1533,20.1683,confirmed,5
20-03-2020,,Albania,41.1533,20.1683,confirmed,6
21-03-2020,,Albania,41.1533,20.1683,confirmed,6
22-03-2020,,Albania,41.1533,20.1683,confirmed,13
23-03-2020,,Albania,41.1533,20.1683,confirmed,15
24-03-2020,,Albania,41.1533,20.1683,confirmed,19
25-03-2020,,Albania,41.1533,20.1683,confirmed,23
26-03-2020,,Albania,41.1533,20.1683,confirmed,28
27-03-2020,,Albania,41.1533,20.1683,confirmed,12
28-03-2020,,Albania,41.1533,20.1683,confirmed,11
29-03-2020,,Albania,41.1533,20.1683,confirmed,15
30-03-2020,,Albania,41.1533,20.1683,confirmed,11
31-03-2020,,Albania,41.1533,20.1683,confirmed,20
01-04-2020,,Albania,41.1533,20.1683,confirmed,16
02-04-2020,,Albania,41.1533,20.1683,confirmed,18
03-04-2020,,Albania,41.1533,20.1683,confirmed,27
04-04-2020,,Albania,41.1533,20.1683,confirmed,29
05-04-2020,,Albania,41.1533,20.1683,confirmed,28
06-04-2020,,Albania,41.1533,20.1683,confirmed,16
07-04-2020,,Albania,41.1533,20.1683,confirmed,6
08-04-2020,,Albania,41.1533,20.1683,confirmed,17
09-04-2020,,Albania,41.1533,20.1683,confirmed,9
10-04-2020,,Albania,41.1533,20.1683,confirmed,7
11-04-2020,,Albania,41.1533,20.1683,confirmed,17
12-04-2020,,Albania,41.1533,20.1683,confirmed,13
13-04-2020,,Albania,41.1533,20.1683,confirmed,21
14-04-2020,,Albania,41.1533,20.1683,confirmed,8
15-04-2020,,Albania,41.1533,20.1683,confirmed,19
16-04-2020,,Albania,41.1533,20.1683,confirmed,24
17-04-2020,,Albania,41.1533,20.1683,confirmed,21
18-04-2020,,Albania,41.1533,20.1683,confirmed,9
19-04-2020,,Albania,41.1533,20.1683,confirmed,14
20-04-2020,,Albania,41.1533,20.1683,confirmed,22
21-04-2020,,Albania,41.1533,20.1683,confirmed,25
22-04-2020,,Albania,41.1533,20.1683,confirmed,25
23-04-2020,,Albania,41.1533,20.1683,confirmed,29
24-04-2020,,Albania,41.1533,20.1683,confirmed,15
25-04-2020,,Albania,41.1533,20.1683,confirmed,34
26-04-2020,,Albania,41.1533,20.1683,confirmed,14
27-04-2020,,Albania,41.1533,20.1683,confirmed,10
28-04-2020,,Albania,41.1533,20.1683,confirmed,14
29-04-2020,,Albania,41.1533,20.1683,confirmed,16
30-04-2020,,Albania,41.1533,20.1683,confirmed,7
01-05-2020,,Albania,41.1533,20.1683,confirmed,9
02-05-2020,,Albania,41.1533,20.1683,confirmed,7
03-05-2020,,Albania,41.1533,20.1683,confirmed,6
04-05-2020,,Albania,41.1533,20.1683,confirmed,8
05-05-2020,,Albania,41.1533,20.1683,confirmed,17
06-05-2020,,Albania,41.1533,20.1683,confirmed,12
07-05-2020,,Albania,41.1533,20.1683,confirmed,10
08-05-2020,,Albania,41.1533,20.1683,confirmed,8
09-05-2020,,Albania,41.1533,20.1683,confirmed,6
10-05-2020,,Albania,41.1533,20.1683,confirmed,12
11-05-2020,,Albania,41.1533,20.1683,confirmed,4
12-05-2020,,Albania,41.1533,20.1683,confirmed,4
13-05-2020,,Albania,41.1533,20.1683,confirmed,4
14-05-2020,,Albania,41.1533,20.1683,confirmed,18
15-05-2020,,Albania,41.1533,20.1683,confirmed,18
16-05-2020,,Albania,41.1533,20.1683,confirmed,17
17-05-2020,,Albania,41.1533,20.1683,confirmed,13
18-05-2020,,Albania,41.1533,20.1683,confirmed,2
19-05-2020,,Albania,41.1533,20.1683,confirmed,1
20-05-2020,,Albania,41.1533,20.1683,confirmed,15
21-05-2020,,Albania,41.1533,20.1683,confirmed,5
22-05-2020,,Albania,41.1533,20.1683,confirmed,12
23-05-2020,,Albania,41.1533,20.1683,confirmed,8
24-05-2020,,Albania,41.1533,20.1683,confirmed,9
25-05-2020,,Albania,41.1533,20.1683,confirmed,6
26-05-2020,,Albania,41.1533,20.1683,confirmed,25
27-05-2020,,Albania,41.1533,20.1683,confirmed,21
28-05-2020,,Albania,41.1533,20.1683,confirmed,26
29-05-2020,,Albania,41.1533,20.1683,confirmed,23
30-05-2020,,Albania,41.1533,20.1683,confirmed,23
31-05-2020,,Albania,41.1533,20.1683,confirmed,15
01-06-2020,,Albania,41.1533,20.1683,confirmed,6
02-06-2020,,Albania,41.1533,20.1683,confirmed,21
03-06-2020,,Albania,41.1533,20.1683,confirmed,20
04-06-2020,,Albania,41.1533,20.1683,confirmed,13
05-06-2020,,Albania,41.1533,20.1683,confirmed,15
06-06-2020,,Albania,41.1533,20.1683,confirmed,20
07-06-2020,,Albania,41.1533,20.1683,confirmed,14
08-06-2020,,Albania,41.1533,20.1683,confirmed,17
09-06-2020,,Albania,41.1533,20.1683,confirmed,36
10-06-2020,,Albania,41.1533,20.1683,confirmed,42
11-06-2020,,Albania,41.1533,20.1683,confirmed,44
12-06-2020,,Albania,41.1533,20.1683,confirmed,31
13-06-2020,,Albania,41.1533,20.1683,confirmed,48
14-06-2020,,Albania,41.1533,20.1683,confirmed,57
15-06-2020,,Albania,41.1533,20.1683,confirmed,69
16-06-2020,,Albania,41.1533,20.1683,confirmed,82
17-06-2020,,Albania,41.1533,20.1683,confirmed,50
18-06-2020,,Albania,41.1533,20.1683,confirmed,66
19-06-2020,,Albania,41.1533,20.1683,confirmed,50
20-06-2020,,Albania,41.1533,20.1683,confirmed,53
21-06-2020,,Albania,41.1533,20.1683,confirmed,71
22-06-2020,,Albania,41.1533,20.1683,confirmed,33
23-06-2020,,Albania,41.1533,20.1683,confirmed,52
24-06-2020,,Albania,41.1533,20.1683,confirmed,67
25-06-2020,,Albania,41.1533,20.1683,confirmed,78
26-06-2020,,Albania,41.1533,20.1683,confirmed,77
27-06-2020,,Albania,41.1533,20.1683,confirmed,61
28-06-2020,,Albania,41.1533,20.1683,confirmed,72
29-06-2020,,Albania,41.1533,20.1683,confirmed,64
30-06-2020,,Albania,41.1533,20.1683,confirmed,69
01-07-2020,,Albania,41.1533,20.1683,confirmed,45
02-07-2020,,Albania,41.1533,20.1683,confirmed,82
03-07-2020,,Albania,41.1533,20.1683,confirmed,90
04-07-2020,,Albania,41.1533,20.1683,confirmed,67
05-07-2020,,Albania,41.1533,20.1683,confirmed,74
06-07-2020,,Albania,41.1533,20.1683,confirmed,71
07-07-2020,,Albania,41.1533,20.1683,confirmed,74
08-07-2020,,Albania,41.1533,20.1683,confirmed,68
09-07-2020,,Albania,41.1533,20.1683,confirmed,82
10-07-2020,,Albania,41.1533,20.1683,confirmed,90
11-07-2020,,Albania,41.1533,20.1683,confirmed,93
12-07-2020,,Albania,41.1533,20.1683,confirmed,83
13-07-2020,,Albania,41.1533,20.1683,confirmed,117
14-07-2020,,Albania,41.1533,20.1683,confirmed,96
15-07-2020,,Albania,41.1533,20.1683,confirmed,85
16-07-2020,,Albania,41.1533,20.1683,confirmed,99
17-07-2020,,Albania,41.1533,20.1683,confirmed,55
18-07-2020,,Albania,41.1533,20.1683,confirmed,102
19-07-2020,,Albania,41.1533,20.1683,confirmed,82
20-07-2020,,Albania,41.1533,20.1683,confirmed,81
21-07-2020,,Albania,41.1533,20.1683,confirmed,119
22-07-2020,,Albania,41.1533,20.1683,confirmed,68
23-07-2020,,Albania,41.1533,20.1683,confirmed,108
24-07-2020,,Albania,41.1533,20.1683,confirmed,104
25-07-2020,,Albania,41.1533,20.1683,confirmed,67
26-07-2020,,Albania,41.1533,20.1683,confirmed,126
27-07-2020,,Albania,41.1533,20.1683,confirmed,117
22-01-2020,,Algeria,28.0339,1.6596,confirmed,0
23-01-2020,,Algeria,28.0339,1.6596,confirmed,0
24-01-2020,,Algeria,28.0339,1.6596,confirmed,0
25-01-2020,,Algeria,28.0339,1.6596,confirmed,0
26-01-2020,,Algeria,28.0339,1.6596,confirmed,0
27-01-2020,,Algeria,28.0339,1.6596,confirmed,0
28-01-2020,,Algeria,28.0339,1.6596,confirmed,0
29-01-2020,,Algeria,28.0339,1.6596,confirmed,0
30-01-2020,,Algeria,28.0339,1.6596,confirmed,0
31-01-2020,,Algeria,28.0339,1.6596,confirmed,0
01-02-2020,,Algeria,28.0339,1.6596,confirmed,0
